Type of the device,Model,Date introduced,Storage capacity,Total product footprint (CO2e),PRODUCTION life cycle carbon emissions ,TRANSPORTATION life cycle carbon emissions ,USE life cycle carbon emissions ,END-OF-LIFE PROCESSING life cycle carbon emissions ,% of recycled or renewable contents (not including packaging or in-box accesories)  ,% of clean energy in manufacturing ,% of recycled rare earth elements ,% of recycled content in the fiber packaging,Labour protection ,Measures for longevity,Harmful resources usage,Ability for a client to freely and securely  recycle the device,Source of data,,Questions section,
iPhone,iPhone 15 Pro,12.09.2023,512GB,83 kg,,,,,20%,38%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance","free of beryllium, brominated flame retardants, PVC, phthalates, arsenic in the display glass and mercury. AC power cords in India use PVC and phthalates, in Thailand for 2-prong AC power cords). In South Korea no PVC and phthalates replacement. Lead such as high-temperature solder (EU Directive 2011/65/EU)","Apple Trade In, Apple Recycler Guide (how to safely disassemble Apple products)",Apple PER iPhone 15 Pro and iPhone 15 Pro Max,,,
iPhone,iPhone 15 Pro,12.09.2023,1TB,107 kg,,,,,20%,38%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance","free of beryllium, brominated flame retardants, PVC, phthalates, arsenic in the display glass and mercury. AC power cords in India use PVC and phthalates, in Thailand for 2-prong AC power cords). In South Korea no PVC and phthalates replacement. Lead such as high-temperature solder (EU Directive 2011/65/EU)","Apple Trade In, Apple Recycler Guide (how to safely disassemble Apple products)",Apple PER iPhone 15 Pro and iPhone 15 Pro Max,,,
iPhone,iPhone 15 Pro Max,12.09.2023,256GB,75 kg,,,,,20%,38%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance","free of beryllium, brominated flame retardants, PVC, phthalates, arsenic in the display glass and mercury. AC power cords in India use PVC and phthalates, in Thailand for 2-prong AC power cords). In South Korea no PVC and phthalates replacement. Lead such as high-temperature solder (EU Directive 2011/65/EU)","Apple Trade In, Apple Recycler Guide (how to safely disassemble Apple products)",Apple PER iPhone 15 Pro and iPhone 15 Pro Max,,,
iPhone,iPhone 15 Pro Max,12.09.2023,512GB,87 kg,,,,,20%,38%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance","free of beryllium, brominated flame retardants, PVC, phthalates, arsenic in the display glass and mercury. AC power cords in India use PVC and phthalates, in Thailand for 2-prong AC power cords). In South Korea no PVC and phthalates replacement. Lead such as high-temperature solder (EU Directive 2011/65/EU)","Apple Trade In, Apple Recycler Guide (how to safely disassemble Apple products)",Apple PER iPhone 15 Pro and iPhone 15 Pro Max,,,
iPhone,iPhone 15 Pro Max,12.09.2023,1TB,110 kg,,,,,20%,38%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance","free of beryllium, brominated flame retardants, PVC, phthalates, arsenic in the display glass and mercury. AC power cords in India use PVC and phthalates, in Thailand for 2-prong AC power cords). In South Korea no PVC and phthalates replacement. Lead such as high-temperature solder (EU Directive 2011/65/EU)","Apple Trade In, Apple Recycler Guide (how to safely disassemble Apple products)",Apple PER iPhone 15 Pro and iPhone 15 Pro Max,,,
iPhone,iPhone 15,12.09.2023,128GB,56 kg,,,,,23%,31%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance ",,Apple Trade-In,Apple PER iPhone 15 and 15 Plus,,,
iPhone,iPhone 15,12.09.2023,256GB,61 kg,,,,,23%,31%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance ",,Apple Trade-In,Apple PER iPhone 15 and 15 Plus,,,
iPhone,iPhone 15,12.09.2023,512GB,74 kg,,,,,23%,31%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance ",,Apple Trade-In,Apple PER iPhone 15 and 15 Plus,,,
iPhone,iPhone 15 Plus,12.09.2023,128GB,61 kg,,,,,23%,31%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance ",,Apple Trade-In,Apple PER iPhone 15 and 15 Plus,,,
iPhone,iPhone 15 Plus,12.09.2023,256GB,66 kg,,,,,23%,31%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance ",,Apple Trade-In,Apple PER iPhone 15 and 15 Plus,,,
iPhone,iPhone 15 Plus,12.09.2023,512GB,79 kg,,,,,23%,31%,,,provide safe and healthy workplaces where people are treated with diginity and respect. providing educational opportunities for workers.,"Ceramic shield, IP68 water and dust resistance ",,Apple Trade-In,Apple PER iPhone 15 and 15 Plus,,,
